null	No.	OK	change	protein name	old
	6216			metallothionein	metallothionein
	6217			metal-transporting P-type ATPase	metal-transporting P-type ATPase
	6218			methanol corrinoid protein	methanol corrinoid protein
	6219			methenyltetrahydrofolate cyclohydrolase	methenyltetrahydrofolate cyclohydrolase
	6220			methenyltetrahydromethanopterin cyclohydrolase	methenyltetrahydromethanopterin cyclohydrolase
	6221			methionine ABC transporter ATP-binding protein	methionine ABC transporter ATP-binding protein
	6222			methionine ABC transporter permease protein	methionine ABC transporter permease protein
	6223		@	methionine ABC transporter substrate-binding protein	methionine ABC transporter methionine-binding protein
	6224		@	methionine ABC transporter substrate-binding protein	methionine ABC transporter substrate binding protein precursor
	6225			methionine ABC transporter substrate-binding protein	methionine ABC transporter substrate-binding protein
	6226			methionine aminopeptidase	methionine aminopeptidase
	6227		@	methionine aminopeptidase	methionine aminopeptidase (peptidase M)
	6228			methionine aminotransferase	methionine aminotransferase
	6229			methionine aminotransferase YbdL	methionine aminotransferase YbdL
	6230			methionine biosynthesis protein MetW	methionine biosynthesis protein MetW
	6231		@	methionine gamma-lyase	methionine gamma lyase
	6232			methionine gamma-lyase	methionine gamma-lyase
	6233		@	methionine gamma-lyase	methionine-gamma-lyase
	6234		@	methionine regulon transcriptional repressor MetJ	methionine regulon repressor
	6235		@	methionine synthase	5-methyltetrahydrofolate--homocysteine methyltransferase
	6236			methionine synthase	methionine synthase
	6237			methionyl-tRNA formyltransferase	methionyl-tRNA formyltransferase
	6238		@	methionyl-tRNA synthetase	methionine--tRNA ligase
	6239			methionyl-tRNA synthetase	methionyl-tRNA synthetase
	6240		@	methionyl-tRNA synthetase	methionyl-tRNA synthetase (methionine--tRNA ligase) (MetRS)
	6241		@	methionyl-tRNA synthetase	MetRS
	6242			methoxymalonate biosynthesis protein	methoxymalonate biosynthesis protein
	6243			methoxyneurosporene dehydrogenase	methoxyneurosporene dehydrogenase
	6244			methyl viologen resistance protein	methyl viologen resistance protein
	6245			methyl-accepting chemotaxis protein	methyl-accepting chemotaxis protein
	6246			methyl-accepting chemotaxis protein I	methyl-accepting chemotaxis protein I
	6247			methyl-accepting chemotaxis protein II	methyl-accepting chemotaxis protein II
	6248			methyl-accepting chemotaxis protein III	methyl-accepting chemotaxis protein III
	6249			methyl-accepting chemotaxis protein IV	methyl-accepting chemotaxis protein IV
	6250			methyl-accepting chemotaxis transducer	methyl-accepting chemotaxis transducer
	6251			methyl-accepting chemotaxis transducer CtpH	methyl-accepting chemotaxis transducer CtpH
	6252			methyl-accepting chemotaxis transducer CtpL	methyl-accepting chemotaxis transducer CtpL
	6253			methylamine dehydrogenase	methylamine dehydrogenase
	6254		@	methylamine dehydrogenase alpha subunit	methylamine dehydrogenase heavy chain
	6255		@	methylamine dehydrogenase beta subunit	methylamine dehydrogenase light chain
	6256			methylamine utilization protein	methylamine utilization protein
	6257			methylated-DNA--[protein]-cysteine methyltransferase	methylated-DNA--[protein]-cysteine methyltransferase
	6258		@	methylated-DNA--[protein]-cysteine methyltransferase	methylated-DNA-protein-cysteine methyltransferase
	6259		@	methylated-DNA--[protein]-cysteine methyltransferase	methylated-DNA--protein-cysteine methyltransferase
	6260		@	methylated-DNA--[protein]-cysteine methyltransferase/3-methyladenine-DNA glycosylase II	methylated-DNA--protein-cysteine methyltransferase/3-methyladenine-DNA glycosylase II
	6261		@	methylcobalamin--homocysteine methyltransferase	methylcobalamin:homocysteine methyltransferase
	6262		@	methylcobalamin--homocysteine methyltransferase	methylcobalamin:homocysteine methyltransferase (methionine synthase)
	6263			methylcobalamin--homocysteine methyltransferase	methylcobalamin--homocysteine methyltransferase
	6264			methyl-coenzyme M reductase alpha subunit	methyl-coenzyme M reductase alpha subunit
	6265			methyl-coenzyme M reductase beta subunit	methyl-coenzyme M reductase beta subunit
	6266			methyl-coenzyme M reductase gamma subunit	methyl-coenzyme M reductase gamma subunit
	6267			methyl-coenzyme M reductase operon protein C	methyl-coenzyme M reductase operon protein C
	6268			methyl-coenzyme M reductase operon protein D	methyl-coenzyme M reductase operon protein D
	6269		@	methyl-coenzyme M reductase system component A2	methylcoenzyme M reductase system component A2
	6270		@	methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	"methylenetetrahydrofolate dehydrogenase/5,10-methenyltetrahydrofolate cyclohydrolase"
	6271			methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
	6272		@	methylenetetrahydrofolate reductase	"5,10-methylenetetrahydrofolate reductase"
	6273			methylenetetrahydrofolate reductase	methylenetetrahydrofolate reductase
	6274			methylenetetrahydrofolate reductase family protein	methylenetetrahydrofolate reductase family protein
	6275			methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
	6276			methylglyoxal synthase	methylglyoxal synthase
	6277			methylmalonate-semialdehyde dehydrogenase	methylmalonate-semialdehyde dehydrogenase
	6278		@	methylmalonate-semialdehyde dehydrogenase	methylmalonic acid semialdehyde dehydrogenase
	6279			methylmalonyl-CoA decarboxylase	methylmalonyl-CoA decarboxylase
	6280		@	methylmalonyl-CoA decarboxylase alpha subunit	methylmalonyl-CoA decarboxylase alpha-subunit
	6281		@	methylmalonyl-CoA decarboxylase alpha subunit	Na+-transporting methylmalonyl-CoA decarboxylase alpha subunit
	6282		@	methylmalonyl-CoA decarboxylase beta subunit	methylmalonyl-CoA decarboxylase beta-subunit
	6283		@	methylmalonyl-CoA decarboxylase beta subunit	Na+-transporting methylmalonyl-CoA decarboxylase beta subunit
	6284		@	methylmalonyl-CoA decarboxylase delta subunit	methylmalonyl-CoA decarboxylase delta-subunit
	6285		@	methylmalonyl-CoA decarboxylase delta subunit	Na+-transporting methylmalonyl-CoA decarboxylase delta subunit
	6286		@	methylmalonyl-CoA decarboxylase gamma subunit	methylmalonyl-CoA decarboxylase gamma-subunit
	6287		@	methylmalonyl-CoA decarboxylase gamma subunit	Na+-transporting methylmalonyl-CoA decarboxylase gamma subunit
	6288		@	methylmalonyl-CoA epimerase	methylmalonyl CoA epimerase
	6289			methylmalonyl-CoA epimerase	methylmalonyl-CoA epimerase
	6290			methylmalonyl-CoA mutase	methylmalonyl-CoA mutase
	6291		@	methylmalonyl-CoA mutase	Sbm protein
	6292		@	methylmalonyl-CoA mutase	sleeping beauty mutase
	6293			methylmalonyl-CoA mutase family protein	methylmalonyl-CoA mutase family protein
	6294			methylmalonyl-CoA mutase large subunit	methylmalonyl-CoA mutase large subunit
	6295			methylmalonyl-CoA mutase small subunit	methylmalonyl-CoA mutase small subunit
	6296			methylphosphotriester-DNA alkyltransferase	methylphosphotriester-DNA alkyltransferase
	6297		@	methylphosphotriester-DNA alkyltransferase/transcriptional activator AdaA	AdaA protein
	6298		@	methylphosphotriester-DNA alkyltransferase/transcriptional activator AdaA	bifunctional transcriptional activator/DNA repair enzyme AdaA
	6299			methylpurine-DNA glycosylase	methylpurine-DNA glycosylase
	6300			methylthioribose kinase	methylthioribose kinase
	6301			methylthioribose-1-phosphate isomerase	methylthioribose-1-phosphate isomerase
	6302			methylthioribulose-1-phosphate dehydratase	methylthioribulose-1-phosphate dehydratase
	6303			methyltransferase	methyltransferase
	6304		@	methyltransferase	S-adenosylmethionine-dependent methyltransferase
	6305			methyltransferase GidB	methyltransferase GidB
	6306			methyltransferase MraW	methyltransferase MraW
	6307			methyltransferase YafE	methyltransferase YafE
	6308		@	methyltransferase/helicase	methylase/helicase
	6309			mevalonate kinase	mevalonate kinase
	6310		@	mevalonate kinase	mevalonate kinase (MK)
	6311		@	Mg-dependent deoxyribonuclease	Mg-dependent DNase
	6312			MgrB protein	MgrB protein
	6313			MgtA leader peptide	MgtA leader peptide
	6314		@	MgtC family protein	"membrane protein, MgtC family"
	6315			MgtC family protein	MgtC family protein
	6316		@	MgtC family protein	MgtC family transporter
	6317		@	MgtC family protein	MgtC/SapB family protein
	6318		@	MgtC family protein	MgtC/SapB family transporter
	6319		@	MgtC protein	membrane protein MgtC
	6320		@	mhp operon transcriptional activator MhpR	mhp operon transcriptional activator
	6321			microbial collagenase	microbial collagenase
	6322		@	microbial collagenase	microbial collagenase precursor
	6323			microcin C ABC transporter ATP-binding protein YejF	microcin C ABC transporter ATP-binding protein YejF
	6324			microcin C ABC transporter permease protein YejB	microcin C ABC transporter permease protein YejB
	6325			microcin C ABC transporter permease protein YejE	microcin C ABC transporter permease protein YejE
	6326			microcin C ABC transporter substrate-binding protein YejA	microcin C ABC transporter substrate-binding protein YejA
	6327			Mig-14-like protein	Mig-14-like protein
	6328			minichromosome maintenance protein	minichromosome maintenance protein
	6329		@	minichromosome maintenance protein	mini-chromosome maintenance protein
	6330		@	minichromosome maintenance protein	minichromosome maintenance protein (DNA replication licensing factor) (MCM)
	6331		@	minichromosome maintenance protein	minichromosome maintenance protein MCM
	6332			miniconductance mechanosensitive channel	miniconductance mechanosensitive channel
	6333		@	minor curlin subunit	curlin minor subunit
	6334			minor curlin subunit	minor curlin subunit
	6335		@	minor myo-inositol transporter IolF	Inositol transport protein IolF
	6336			misacylated tRNA(Ala) hydrolase AlaX	misacylated tRNA(Ala) hydrolase AlaX
	6337		@	misacylated tRNA(Ala) hydrolase AlaX	misacylated tRNAala hydrolase AlaX
	6338			misacylated tRNA(Pro) hydrolase ProX	misacylated tRNA(Pro) hydrolase ProX
	6339			misacylated tRNA(Thr) hydrolase	misacylated tRNA(Thr) hydrolase
	6340		@	misacylated tRNA(Thr) hydrolase	misacylated tRNAthr hydrolase (ThrRS-ed)
	6341		@	mismatch-specific uracil DNA glycosylase	G/U mismatch-specific DNA glycosylase
	6342		@	MIT family transporter	MIT-family metal ion transporter
	6343			mitomycin-binding protein	mitomycin-binding protein
	6344			Mlc protein	Mlc protein
	6345			MltA-interacting MipA	MltA-interacting MipA
	6346			MltA-interacting MipA family protein	MltA-interacting MipA family protein
	6347		@	MltA-interacting MipA family protein	MltA-interacting protein
	6348			MmyB family DNA-binding protein	MmyB family DNA-binding protein
	6349		@	mngAB operon transcriptional repressor MngR	mngAB operon transcriptional repressor
	6350			MoaD family protein	MoaD family protein
	6351			MobA/MobL family protein	MobA/MobL family protein
	6352		@	mobilization protein	mobilisation protein
	6353			mobilization protein	mobilization protein
	6354		@	mobilization protein MobB	Mobilization protein B
	6355		@	mobilization protein MobC	Protein MobC
	6356			mobilization protein MobD	mobilization protein MobD
	6357			modABC operon transcriptional regulator ModE	modABC operon transcriptional regulator ModE
	6358			ModE family transcriptional regulator	ModE family transcriptional regulator
	6359			modular polyketide synthase	modular polyketide synthase
	6360			modular polyketide synthase BFAS1	modular polyketide synthase BFAS1
	6361			modular polyketide synthase BFAS2	modular polyketide synthase BFAS2
	6362			modular polyketide synthase BFAS3	modular polyketide synthase BFAS3
